date,policy_regime_id,call_unc_boj_m,usdjpy_m
1995-01-31,RATE_BASED_PRE_ZIRP,,98.40
1995-02-28,RATE_BASED_PRE_ZIRP,,96.75
1995-03-31,RATE_BASED_PRE_ZIRP,,89.53
1995-04-28,RATE_BASED_PRE_ZIRP,,83.58
1995-05-31,RATE_BASED_PRE_ZIRP,,83.00
1995-06-30,RATE_BASED_PRE_ZIRP,,84.70
1995-07-31,RATE_BASED_PRE_ZIRP,,88.18
1995-08-31,RATE_BASED_PRE_ZIRP,,98.95
1995-09-29,RATE_BASED_PRE_ZIRP,,99.73
1995-10-31,RATE_BASED_PRE_ZIRP,,101.65
1995-11-30,RATE_BASED_PRE_ZIRP,,101.46
1995-12-29,RATE_BASED_PRE_ZIRP,,102.87
1996-01-31,RATE_BASED_PRE_ZIRP,,107.29
1996-02-29,RATE_BASED_PRE_ZIRP,,104.47
1996-03-29,RATE_BASED_PRE_ZIRP,,106.34
1996-04-30,RATE_BASED_PRE_ZIRP,,104.52
1996-05-31,RATE_BASED_PRE_ZIRP,,107.65
1996-06-28,RATE_BASED_PRE_ZIRP,,109.45
1996-07-31,RATE_BASED_PRE_ZIRP,,108.08
1996-08-30,RATE_BASED_PRE_ZIRP,,108.50
1996-09-30,RATE_BASED_PRE_ZIRP,,110.85
1996-10-31,RATE_BASED_PRE_ZIRP,,113.97
1996-11-29,RATE_BASED_PRE_ZIRP,,113.33
1996-12-30,RATE_BASED_PRE_ZIRP,,116.13
1997-01-31,RATE_BASED_PRE_ZIRP,,121.55
1997-02-28,RATE_BASED_PRE_ZIRP,,120.80
1997-03-31,RATE_BASED_PRE_ZIRP,,123.90
1997-04-30,RATE_BASED_PRE_ZIRP,,126.81
1997-05-30,RATE_BASED_PRE_ZIRP,,116.21
1997-06-30,RATE_BASED_PRE_ZIRP,,114.67
1997-07-31,RATE_BASED_PRE_ZIRP,,118.33
1997-08-29,RATE_BASED_PRE_ZIRP,,118.75
1997-09-30,RATE_BASED_PRE_ZIRP,,121.00
1997-10-31,RATE_BASED_PRE_ZIRP,,120.68
1997-11-28,RATE_BASED_PRE_ZIRP,,127.51
1997-12-30,RATE_BASED_PRE_ZIRP,,130.05
1998-01-30,RATE_BASED_PRE_ZIRP,0.44,125.38
1998-02-27,RATE_BASED_PRE_ZIRP,0.45,127.72
1998-03-31,RATE_BASED_PRE_ZIRP,0.39,132.16
1998-04-30,RATE_BASED_PRE_ZIRP,0.44,132.05
1998-05-29,RATE_BASED_PRE_ZIRP,0.45,138.91
1998-06-30,RATE_BASED_PRE_ZIRP,0.35,141.92
1998-07-31,RATE_BASED_PRE_ZIRP,0.41,142.51
1998-08-31,RATE_BASED_PRE_ZIRP,0.39,142.55
1998-09-30,RATE_BASED_PRE_ZIRP,0.25,133.90
1998-10-30,RATE_BASED_PRE_ZIRP,0.21,117.30
1998-11-30,RATE_BASED_PRE_ZIRP,0.23,123.24
1998-12-30,RATE_BASED_PRE_ZIRP,0.23,115.42
1999-01-29,RATE_BASED_PRE_ZIRP,0.24,116.36
1999-02-26,ZIRP_1,0.12,119.26
1999-03-31,ZIRP_1,0.04,120.10
1999-04-30,ZIRP_1,0.03,119.26
1999-05-31,ZIRP_1,0.03,120.88
1999-06-30,ZIRP_1,0.03,120.81
1999-07-30,ZIRP_1,0.03,115.19
1999-08-31,ZIRP_1,0.03,111.13
1999-09-30,ZIRP_1,0.03,106.80
1999-10-29,ZIRP_1,0.03,105.13
1999-11-30,ZIRP_1,0.02,102.43
1999-12-30,ZIRP_1,0.02,102.05
2000-01-31,ZIRP_1,0.02,107.15
2000-02-29,ZIRP_1,0.28,109.17
2000-03-31,ZIRP_1,0.02,105.53
2000-04-28,ZIRP_1,0.02,106.36
2000-05-31,ZIRP_1,0.02,106.44
2000-06-30,ZIRP_1,0.02,105.09
2000-07-31,ZIRP_1,0.02,109.63
2000-08-31,RATE_TRANSITION,0.25,106.47
2000-09-29,RATE_TRANSITION,0.25,107.59
2000-10-31,RATE_TRANSITION,0.25,108.99
2000-11-30,RATE_TRANSITION,0.25,111.28
2000-12-29,RATE_TRANSITION,0.25,114.62
2001-01-31,RATE_TRANSITION,0.25,115.75
2001-02-28,RATE_TRANSITION,0.25,116.20
2001-03-30,ZIRP_1,0.02,123.45
2001-04-27,ZIRP_1,0.01,123.13
2001-05-31,ZIRP_1,0.01,120.27
2001-06-29,ZIRP_1,0.04,124.63
2001-07-31,ZIRP_1,0.01,125.18
2001-08-31,ZIRP_1,0.01,119.40
2001-09-28,ZIRP_1,0.002,119.69
2001-10-31,ZIRP_1,0.003,122.07
2001-11-30,ZIRP_1,0.003,123.82
2001-12-28,ZIRP_1,0.001,131.47
2002-01-31,ZIRP_1,0.001,132.84
2002-02-28,ZIRP_1,0.001,134.63
2002-03-29,ZIRP_1,0.001,132.61
2002-04-30,ZIRP_1,0.002,128.13
2002-05-31,ZIRP_1,0.001,123.08
2002-06-28,ZIRP_1,0.001,119.38
2002-07-31,ZIRP_1,0.002,119.90
2002-08-30,ZIRP_1,0.002,118.34
2002-09-30,ZIRP_1,0.002,122.86
2002-10-31,ZIRP_1,0.002,122.91
2002-11-29,ZIRP_1,0.002,122.21
2002-12-30,ZIRP_1,0.001,119.92
2003-01-31,ZIRP_1,0.001,119.22
2003-02-28,ZIRP_1,0.001,117.58
2003-03-31,ZIRP_1,0.001,120.18
2003-04-30,ZIRP_1,0.002,120.14
2003-05-30,ZIRP_1,0.002,118.45
2003-06-30,ZIRP_1,-0.004,119.72
2003-07-31,ZIRP_1,0.002,120.55
2003-08-29,ZIRP_1,0.001,117.44
2003-09-30,ZIRP_1,0.001,111.07
2003-10-31,ZIRP_1,0.002,108.27
2003-11-28,ZIRP_1,0.001,109.11
2003-12-30,ZIRP_1,0.001,106.93
2004-01-30,ZIRP_1,0.001,106.09
2004-02-27,ZIRP_1,0.001,109.59
2004-03-31,ZIRP_1,0.001,105.61
2004-04-30,ZIRP_1,0.001,109.96
2004-05-31,ZIRP_1,0.001,110.18
2004-06-30,ZIRP_1,0.001,108.18
2004-07-30,ZIRP_1,0.001,111.88
2004-08-31,ZIRP_1,0.002,109.84
2004-09-30,ZIRP_1,0.001,110.90
2004-10-29,ZIRP_1,0.001,106.09
2004-11-30,ZIRP_1,0.001,102.61
2004-12-30,ZIRP_1,0.001,104.19
2005-01-31,ZIRP_1,0.001,103.45
2005-02-28,ZIRP_1,0.001,105.21
2005-03-31,ZIRP_1,0.002,107.33
2005-04-28,ZIRP_1,0.001,105.98
2005-05-31,ZIRP_1,0.002,107.88
2005-06-30,ZIRP_1,0,110.27
2005-07-29,ZIRP_1,0.001,112.34
2005-08-31,ZIRP_1,0.001,111.49
2005-09-30,ZIRP_1,0.001,113.14
2005-10-31,ZIRP_1,0.001,115.52
2005-11-30,ZIRP_1,0.001,119.48
2005-12-30,ZIRP_1,0.002,117.86
2006-01-31,ZIRP_1,0.001,117.55
2006-02-28,ZIRP_1,0.001,115.97
2006-03-31,RATE_NORMALIZATION_1,0.002,117.41
2006-04-28,RATE_NORMALIZATION_1,0.002,114.02
2006-05-31,RATE_NORMALIZATION_1,0.023,112.18
2006-06-30,RATE_NORMALIZATION_1,0.016,116.17
2006-07-31,RATE_NORMALIZATION_1,0.249,114.74
2006-08-31,RATE_NORMALIZATION_1,0.256,117.07
2006-09-29,RATE_NORMALIZATION_1,0.263,117.84
2006-10-31,RATE_NORMALIZATION_1,0.25,117.38
2006-11-30,RATE_NORMALIZATION_1,0.264,116.29
2006-12-29,RATE_NORMALIZATION_1,0.246,118.95
2007-01-31,RATE_NORMALIZATION_1,0.264,121.70
2007-02-28,RATE_NORMALIZATION_1,0.572,118.67
2007-03-30,RATE_NORMALIZATION_1,0.506,117.75
2007-04-27,RATE_NORMALIZATION_1,0.539,119.50
2007-05-31,RATE_NORMALIZATION_1,0.527,121.48
2007-06-29,RATE_NORMALIZATION_1,0.511,123.01
2007-07-31,RATE_NORMALIZATION_1,0.502,118.41
2007-08-31,RATE_NORMALIZATION_1,0.51,115.81
2007-09-28,RATE_NORMALIZATION_1,0.503,115.76
2007-10-31,RATE_NORMALIZATION_1,0.502,114.72
2007-11-30,RATE_NORMALIZATION_1,0.499,109.94
2007-12-28,RATE_NORMALIZATION_1,0.499,114.00
2008-01-31,RATE_NORMALIZATION_1,0.501,107.25
2008-02-29,RATE_NORMALIZATION_1,0.507,105.6400
2008-03-31,RATE_NORMALIZATION_1,0.498,99.7100
2008-04-30,RATE_NORMALIZATION_1,0.515,103.4000
2008-05-30,RATE_NORMALIZATION_1,0.504,105.5200
2008-06-30,RATE_NORMALIZATION_1,0.507,106.2800
2008-07-31,RATE_NORMALIZATION_1,0.509,108.1700
